01:50:50 INFO server listening on ('127.0.0.1', 5430)
01:50:50 INFO matchId=match_20260703_015050_cd278d audit=D:\software\chrome\the-6th-software-competition-master\the-6th-software-competition-master\match_runs\20260703_015049\server_logs\match_20260703_015050_cd278d.audit.jsonl replay=D:\software\chrome\the-6th-software-competition-master\the-6th-software-competition-master\match_runs\20260703_015049\server_logs\match_20260703_015050_cd278d.replay.jsonl
01:50:51 INFO client connected address=('127.0.0.1', 5433)
01:50:51 INFO registered playerId=1001 team=RED name=litchi-python version=0.1.0
01:50:51 INFO client connected address=('127.0.0.1', 5434)
01:50:51 INFO registered playerId=1002 team=BLUE name=idle-client version=idle-client-1.0
01:50:51 INFO both players registered; sending start
01:50:51 INFO ready playerId=1001
01:50:51 INFO ready playerId=1002
01:50:51 INFO both players ready; starting round loop tick_ms=500
01:50:51 INFO round=72 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=73 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=74 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=75 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=76 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=77 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=78 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=79 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=80 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=81 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=82 events=4 results=[{'playerId': 1001, 'action': 'CLAIM_TASK', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=83 events=3 results=[{'playerId': 1001, 'action': 'WAIT', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=84 events=4 results=[{'playerId': 1001, 'action': 'WAIT', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=85 events=4 results=[{'playerId': 1001, 'action': 'CLAIM_RESOURCE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=86 events=4 results=[{'playerId': 1001, 'action': 'WAIT', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=87 events=4 results=[{'playerId': 1001, 'action': 'CLAIM_RESOURCE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=88 events=4 results=[{'playerId': 1001, 'action': 'WAIT', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=89 events=4 results=[{'playerId': 1001, 'action': 'CLAIM_RESOURCE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=90 events=4 results=[{'playerId': 1001, 'action': 'WAIT', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=91 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=92 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=93 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=94 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=95 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
01:50:51 INFO round=96 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 30, 'BLUE': 0}
