10:11:17 INFO server listening on ('127.0.0.1', 4399)
10:11:17 INFO matchId=match_20260703_101117_d39c71 audit=match_runs\loop\20260703_101117_m0037\server_logs\match_20260703_101117_d39c71.audit.jsonl replay=match_runs\loop\20260703_101117_m0037\server_logs\match_20260703_101117_d39c71.replay.jsonl
10:11:18 INFO client connected address=('127.0.0.1', 4402)
10:11:18 INFO registered playerId=1001 team=RED name=litchi-python version=0.1.0
10:11:18 INFO client connected address=('127.0.0.1', 4403)
10:11:18 INFO registered playerId=1002 team=BLUE name=litchi-python version=0.1.0
10:11:18 INFO both players registered; sending start
10:11:18 INFO ready playerId=1001
10:11:18 INFO ready playerId=1002
10:11:18 INFO both players ready; starting round loop tick_ms=500
10:11:19 INFO round=34 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=35 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=36 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=37 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=38 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=39 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=40 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=41 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=42 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=43 events=3 results=[{'playerId': 1001, 'action': 'PROCESS', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'PROCESS', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=44 events=3 results=[{'playerId': 1001, 'action': 'WINDOW_CARD', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WINDOW_CARD', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=45 events=3 results=[{'playerId': 1001, 'action': 'WINDOW_CARD', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WINDOW_CARD', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=46 events=7 results=[{'playerId': 1001, 'action': 'WINDOW_CARD', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WINDOW_CARD', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=47 events=5 results=[{'playerId': 1001, 'action': 'PROCESS', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
